subsession.round_number,group.id_in_subsession,subsession.priorities_by_prize,player.id_in_group,player.pref_ranking,player.player_valuations
2,3,"[1, 3, 2, 5, 4, 7, 6, 8]",1,ABCDEF,"[15, 13, 7, 5, 3, 1]"
2,3,"[1, 3, 2, 5, 4, 7, 6, 8]",2,ABDEFC,"[15, 13, 1, 7, 5, 3]"
2,3,"[1, 3, 2, 5, 4, 7, 6, 8]",3,ABDEFC,"[15, 13, 1, 7, 5, 3]"
2,3,"[1, 3, 2, 5, 4, 7, 6, 8]",4,ABFDEC,"[15, 13, 1, 5, 3, 7]"
2,3,"[1, 3, 2, 5, 4, 7, 6, 8]",5,BACDFE,"[13, 15, 7, 5, 1, 3]"
2,3,"[1, 3, 2, 5, 4, 7, 6, 8]",6,BADECF,"[13, 15, 3, 7, 5, 1]"
2,3,"[1, 3, 2, 5, 4, 7, 6, 8]",7,BAEFCD,"[13, 15, 3, 1, 7, 5]"
2,3,"[1, 3, 2, 5, 4, 7, 6, 8]",8,BAECFD,"[13, 15, 5, 1, 7, 3]"
2,4,"[8, 4, 2, 5, 3, 1, 6, 7]",1,ABEFDC,"[15, 13, 1, 3, 7, 5]"
2,4,"[8, 4, 2, 5, 3, 1, 6, 7]",2,ABCEDF,"[15, 13, 7, 3, 5, 1]"
2,4,"[8, 4, 2, 5, 3, 1, 6, 7]",3,ABCDEF,"[15, 13, 7, 5, 3, 1]"
2,4,"[8, 4, 2, 5, 3, 1, 6, 7]",4,ABCDEF,"[15, 13, 7, 5, 3, 1]"
2,4,"[8, 4, 2, 5, 3, 1, 6, 7]",5,BAEFDC,"[13, 15, 1, 3, 7, 5]"
2,4,"[8, 4, 2, 5, 3, 1, 6, 7]",6,BAFCED,"[13, 15, 5, 1, 3, 7]"
2,4,"[8, 4, 2, 5, 3, 1, 6, 7]",7,BAEFCD,"[13, 15, 3, 1, 7, 5]"
2,4,"[8, 4, 2, 5, 3, 1, 6, 7]",8,BADECF,"[13, 15, 3, 7, 5, 1]"
2,5,"[5, 7, 4, 6, 2, 3, 8, 1]",1,ABFDEC,"[15, 13, 1, 5, 3, 7]"
2,5,"[5, 7, 4, 6, 2, 3, 8, 1]",2,ABCEFD,"[15, 13, 7, 1, 5, 3]"
2,5,"[5, 7, 4, 6, 2, 3, 8, 1]",3,ABFEDC,"[15, 13, 1, 3, 5, 7]"
2,5,"[5, 7, 4, 6, 2, 3, 8, 1]",4,ABCEDF,"[15, 13, 7, 3, 5, 1]"
2,5,"[5, 7, 4, 6, 2, 3, 8, 1]",5,BADCEF,"[13, 15, 5, 7, 3, 1]"
2,5,"[5, 7, 4, 6, 2, 3, 8, 1]",6,BAEFCD,"[13, 15, 3, 1, 7, 5]"
2,5,"[5, 7, 4, 6, 2, 3, 8, 1]",7,BACFDE,"[13, 15, 7, 3, 1, 5]"
2,5,"[5, 7, 4, 6, 2, 3, 8, 1]",8,BADEFC,"[13, 15, 1, 7, 5, 3]"
3,1,"[3, 5, 2, 4, 8, 6, 1, 7]",1,ABCFED,"[15, 13, 7, 1, 3, 5]"
3,1,"[3, 5, 2, 4, 8, 6, 1, 7]",2,ABFEDC,"[15, 13, 1, 3, 5, 7]"
3,1,"[3, 5, 2, 4, 8, 6, 1, 7]",3,ABEDFC,"[15, 13, 1, 5, 7, 3]"
3,1,"[3, 5, 2, 4, 8, 6, 1, 7]",4,ABEFDC,"[15, 13, 1, 3, 7, 5]"
3,1,"[3, 5, 2, 4, 8, 6, 1, 7]",5,BAFECD,"[13, 15, 3, 1, 5, 7]"
3,1,"[3, 5, 2, 4, 8, 6, 1, 7]",6,BAECFD,"[13, 15, 5, 1, 7, 3]"
3,1,"[3, 5, 2, 4, 8, 6, 1, 7]",7,BAEFCD,"[13, 15, 3, 1, 7, 5]"
3,1,"[3, 5, 2, 4, 8, 6, 1, 7]",8,BAFCED,"[13, 15, 5, 1, 3, 7]"
3,2,"[3, 8, 6, 1, 5, 7, 4, 2]",1,ABDCFE,"[15, 13, 5, 7, 1, 3]"
3,2,"[3, 8, 6, 1, 5, 7, 4, 2]",2,ABCDEF,"[15, 13, 7, 5, 3, 1]"
3,2,"[3, 8, 6, 1, 5, 7, 4, 2]",3,ABFDCE,"[15, 13, 3, 5, 1, 7]"
3,2,"[3, 8, 6, 1, 5, 7, 4, 2]",4,ABDCFE,"[15, 13, 5, 7, 1, 3]"
3,2,"[3, 8, 6, 1, 5, 7, 4, 2]",5,BADEFC,"[13, 15, 1, 7, 5, 3]"
3,2,"[3, 8, 6, 1, 5, 7, 4, 2]",6,BACFED,"[13, 15, 7, 1, 3, 5]"
3,2,"[3, 8, 6, 1, 5, 7, 4, 2]",7,BACDEF,"[13, 15, 7, 5, 3, 1]"
3,2,"[3, 8, 6, 1, 5, 7, 4, 2]",8,BAECDF,"[13, 15, 5, 3, 7, 1]"
3,3,"[6, 8, 3, 5, 1, 2, 7, 4]",1,ABDCEF,"[15, 13, 5, 7, 3, 1]"
3,3,"[6, 8, 3, 5, 1, 2, 7, 4]",2,ABCFED,"[15, 13, 7, 1, 3, 5]"
3,3,"[6, 8, 3, 5, 1, 2, 7, 4]",3,ABFECD,"[15, 13, 3, 1, 5, 7]"
3,3,"[6, 8, 3, 5, 1, 2, 7, 4]",4,ABCFDE,"[15, 13, 7, 3, 1, 5]"
3,3,"[6, 8, 3, 5, 1, 2, 7, 4]",5,BACFED,"[13, 15, 7, 1, 3, 5]"
3,3,"[6, 8, 3, 5, 1, 2, 7, 4]",6,BAECDF,"[13, 15, 5, 3, 7, 1]"
3,3,"[6, 8, 3, 5, 1, 2, 7, 4]",7,BADFEC,"[13, 15, 1, 7, 3, 5]"
3,3,"[6, 8, 3, 5, 1, 2, 7, 4]",8,BADCFE,"[13, 15, 5, 7, 1, 3]"
3,4,"[7, 5, 6, 2, 1, 8, 4, 3]",1,ABDEFC,"[15, 13, 1, 7, 5, 3]"
3,4,"[7, 5, 6, 2, 1, 8, 4, 3]",2,ABFDEC,"[15, 13, 1, 5, 3, 7]"
3,4,"[7, 5, 6, 2, 1, 8, 4, 3]",3,ABEDFC,"[15, 13, 1, 5, 7, 3]"
3,4,"[7, 5, 6, 2, 1, 8, 4, 3]",4,ABFDCE,"[15, 13, 3, 5, 1, 7]"
3,4,"[7, 5, 6, 2, 1, 8, 4, 3]",5,BAEDCF,"[13, 15, 3, 5, 7, 1]"
3,4,"[7, 5, 6, 2, 1, 8, 4, 3]",6,BADECF,"[13, 15, 3, 7, 5, 1]"
3,4,"[7, 5, 6, 2, 1, 8, 4, 3]",7,BACFDE,"[13, 15, 7, 3, 1, 5]"
3,4,"[7, 5, 6, 2, 1, 8, 4, 3]",8,BACDFE,"[13, 15, 7, 5, 1, 3]"
3,5,"[4, 1, 8, 2, 5, 7, 3, 6]",1,ABFEDC,"[15, 13, 1, 3, 5, 7]"
3,5,"[4, 1, 8, 2, 5, 7, 3, 6]",2,ABDFEC,"[15, 13, 1, 7, 3, 5]"
3,5,"[4, 1, 8, 2, 5, 7, 3, 6]",3,ABFDCE,"[15, 13, 3, 5, 1, 7]"
3,5,"[4, 1, 8, 2, 5, 7, 3, 6]",4,ABECFD,"[15, 13, 5, 1, 7, 3]"
3,5,"[4, 1, 8, 2, 5, 7, 3, 6]",5,BAEDFC,"[13, 15, 1, 5, 7, 3]"
3,5,"[4, 1, 8, 2, 5, 7, 3, 6]",6,BAEFDC,"[13, 15, 1, 3, 7, 5]"
3,5,"[4, 1, 8, 2, 5, 7, 3, 6]",7,BACFED,"[13, 15, 7, 1, 3, 5]"
3,5,"[4, 1, 8, 2, 5, 7, 3, 6]",8,BAFDEC,"[13, 15, 1, 5, 3, 7]"
4,1,"[7, 6, 4, 1, 2, 5, 8, 3]",1,ABCDEF,"[15, 13, 7, 5, 3, 1]"
4,1,"[7, 6, 4, 1, 2, 5, 8, 3]",2,ABECFD,"[15, 13, 5, 1, 7, 3]"
4,1,"[7, 6, 4, 1, 2, 5, 8, 3]",3,ABECDF,"[15, 13, 5, 3, 7, 1]"
4,1,"[7, 6, 4, 1, 2, 5, 8, 3]",4,ABCDFE,"[15, 13, 7, 5, 1, 3]"
4,1,"[7, 6, 4, 1, 2, 5, 8, 3]",5,BAEDFC,"[13, 15, 1, 5, 7, 3]"
4,1,"[7, 6, 4, 1, 2, 5, 8, 3]",6,BACEDF,"[13, 15, 7, 3, 5, 1]"
4,1,"[7, 6, 4, 1, 2, 5, 8, 3]",7,BACEFD,"[13, 15, 7, 1, 5, 3]"
4,1,"[7, 6, 4, 1, 2, 5, 8, 3]",8,BADECF,"[13, 15, 3, 7, 5, 1]"
4,2,"[3, 1, 4, 8, 7, 6, 2, 5]",1,ABEFCD,"[15, 13, 3, 1, 7, 5]"
4,2,"[3, 1, 4, 8, 7, 6, 2, 5]",2,ABFCED,"[15, 13, 5, 1, 3, 7]"
4,2,"[3, 1, 4, 8, 7, 6, 2, 5]",3,ABDECF,"[15, 13, 3, 7, 5, 1]"
4,2,"[3, 1, 4, 8, 7, 6, 2, 5]",4,ABDEFC,"[15, 13, 1, 7, 5, 3]"
4,2,"[3, 1, 4, 8, 7, 6, 2, 5]",5,BAFCDE,"[13, 15, 5, 3, 1, 7]"
4,2,"[3, 1, 4, 8, 7, 6, 2, 5]",6,BAECFD,"[13, 15, 5, 1, 7, 3]"
4,2,"[3, 1, 4, 8, 7, 6, 2, 5]",7,BADEFC,"[13, 15, 1, 7, 5, 3]"
4,2,"[3, 1, 4, 8, 7, 6, 2, 5]",8,BACFDE,"[13, 15, 7, 3, 1, 5]"
4,3,"[1, 2, 5, 3, 8, 6, 4, 7]",1,ABDCEF,"[15, 13, 5, 7, 3, 1]"
4,3,"[1, 2, 5, 3, 8, 6, 4, 7]",2,ABECFD,"[15, 13, 5, 1, 7, 3]"
4,3,"[1, 2, 5, 3, 8, 6, 4, 7]",3,ABDCFE,"[15, 13, 5, 7, 1, 3]"
4,3,"[1, 2, 5, 3, 8, 6, 4, 7]",4,ABCEFD,"[15, 13, 7, 1, 5, 3]"
4,3,"[1, 2, 5, 3, 8, 6, 4, 7]",5,BAFEDC,"[13, 15, 1, 3, 5, 7]"
4,3,"[1, 2, 5, 3, 8, 6, 4, 7]",6,BAEDCF,"[13, 15, 3, 5, 7, 1]"
4,3,"[1, 2, 5, 3, 8, 6, 4, 7]",7,BACFDE,"[13, 15, 7, 3, 1, 5]"
4,3,"[1, 2, 5, 3, 8, 6, 4, 7]",8,BACFED,"[13, 15, 7, 1, 3, 5]"
4,4,"[7, 6, 3, 2, 1, 8, 5, 4]",1,ABDCFE,"[15, 13, 5, 7, 1, 3]"
4,4,"[7, 6, 3, 2, 1, 8, 5, 4]",2,ABCFDE,"[15, 13, 7, 3, 1, 5]"
4,4,"[7, 6, 3, 2, 1, 8, 5, 4]",3,ABFECD,"[15, 13, 3, 1, 5, 7]"
4,4,"[7, 6, 3, 2, 1, 8, 5, 4]",4,ABDFEC,"[15, 13, 1, 7, 3, 5]"
4,4,"[7, 6, 3, 2, 1, 8, 5, 4]",5,BAFEDC,"[13, 15, 1, 3, 5, 7]"
4,4,"[7, 6, 3, 2, 1, 8, 5, 4]",6,BACEFD,"[13, 15, 7, 1, 5, 3]"
4,4,"[7, 6, 3, 2, 1, 8, 5, 4]",7,BAFDCE,"[13, 15, 3, 5, 1, 7]"
4,4,"[7, 6, 3, 2, 1, 8, 5, 4]",8,BAEDCF,"[13, 15, 3, 5, 7, 1]"
4,5,"[3, 4, 1, 5, 2, 8, 6, 7]",1,ABECDF,"[15, 13, 5, 3, 7, 1]"
4,5,"[3, 4, 1, 5, 2, 8, 6, 7]",2,ABCFDE,"[15, 13, 7, 3, 1, 5]"
4,5,"[3, 4, 1, 5, 2, 8, 6, 7]",3,ABCDFE,"[15, 13, 7, 5, 1, 3]"
4,5,"[3, 4, 1, 5, 2, 8, 6, 7]",4,ABCEFD,"[15, 13, 7, 1, 5, 3]"
4,5,"[3, 4, 1, 5, 2, 8, 6, 7]",5,BAEFDC,"[13, 15, 1, 3, 7, 5]"
4,5,"[3, 4, 1, 5, 2, 8, 6, 7]",6,BAEFCD,"[13, 15, 3, 1, 7, 5]"
4,5,"[3, 4, 1, 5, 2, 8, 6, 7]",7,BADFCE,"[13, 15, 3, 7, 1, 5]"
4,5,"[3, 4, 1, 5, 2, 8, 6, 7]",8,BACDFE,"[13, 15, 7, 5, 1, 3]"
5,1,"[5, 6, 4, 1, 2, 7, 8, 3]",1,ABDCEF,"[15, 13, 5, 7, 3, 1]"
5,1,"[5, 6, 4, 1, 2, 7, 8, 3]",2,ABEFCD,"[15, 13, 3, 1, 7, 5]"
5,1,"[5, 6, 4, 1, 2, 7, 8, 3]",3,ABEFDC,"[15, 13, 1, 3, 7, 5]"
5,1,"[5, 6, 4, 1, 2, 7, 8, 3]",4,ABEDFC,"[15, 13, 1, 5, 7, 3]"
5,1,"[5, 6, 4, 1, 2, 7, 8, 3]",5,BAECFD,"[13, 15, 5, 1, 7, 3]"
5,1,"[5, 6, 4, 1, 2, 7, 8, 3]",6,BACEFD,"[13, 15, 7, 1, 5, 3]"
5,1,"[5, 6, 4, 1, 2, 7, 8, 3]",7,BAEDCF,"[13, 15, 3, 5, 7, 1]"
5,1,"[5, 6, 4, 1, 2, 7, 8, 3]",8,BACFED,"[13, 15, 7, 1, 3, 5]"
5,2,"[3, 1, 8, 5, 7, 2, 4, 6]",1,ABEDFC,"[15, 13, 1, 5, 7, 3]"
5,2,"[3, 1, 8, 5, 7, 2, 4, 6]",2,ABEDFC,"[15, 13, 1, 5, 7, 3]"
5,2,"[3, 1, 8, 5, 7, 2, 4, 6]",3,ABCDEF,"[15, 13, 7, 5, 3, 1]"
5,2,"[3, 1, 8, 5, 7, 2, 4, 6]",4,ABFCED,"[15, 13, 5, 1, 3, 7]"
5,2,"[3, 1, 8, 5, 7, 2, 4, 6]",5,BAEFCD,"[13, 15, 3, 1, 7, 5]"
5,2,"[3, 1, 8, 5, 7, 2, 4, 6]",6,BADCFE,"[13, 15, 5, 7, 1, 3]"
5,2,"[3, 1, 8, 5, 7, 2, 4, 6]",7,BADECF,"[13, 15, 3, 7, 5, 1]"
5,2,"[3, 1, 8, 5, 7, 2, 4, 6]",8,BAEDFC,"[13, 15, 1, 5, 7, 3]"
5,3,"[1, 3, 4, 6, 8, 5, 2, 7]",1,ABDCEF,"[15, 13, 5, 7, 3, 1]"
5,3,"[1, 3, 4, 6, 8, 5, 2, 7]",2,ABFCDE,"[15, 13, 5, 3, 1, 7]"
5,3,"[1, 3, 4, 6, 8, 5, 2, 7]",3,ABEFDC,"[15, 13, 1, 3, 7, 5]"
5,3,"[1, 3, 4, 6, 8, 5, 2, 7]",4,ABEFDC,"[15, 13, 1, 3, 7, 5]"
5,3,"[1, 3, 4, 6, 8, 5, 2, 7]",5,BADFEC,"[13, 15, 1, 7, 3, 5]"
5,3,"[1, 3, 4, 6, 8, 5, 2, 7]",6,BAECFD,"[13, 15, 5, 1, 7, 3]"
5,3,"[1, 3, 4, 6, 8, 5, 2, 7]",7,BAFEDC,"[13, 15, 1, 3, 5, 7]"
5,3,"[1, 3, 4, 6, 8, 5, 2, 7]",8,BAECFD,"[13, 15, 5, 1, 7, 3]"
5,4,"[4, 6, 7, 1, 2, 3, 8, 5]",1,ABFCDE,"[15, 13, 5, 3, 1, 7]"
5,4,"[4, 6, 7, 1, 2, 3, 8, 5]",2,ABCFED,"[15, 13, 7, 1, 3, 5]"
5,4,"[4, 6, 7, 1, 2, 3, 8, 5]",3,ABFECD,"[15, 13, 3, 1, 5, 7]"
5,4,"[4, 6, 7, 1, 2, 3, 8, 5]",4,ABFCDE,"[15, 13, 5, 3, 1, 7]"
5,4,"[4, 6, 7, 1, 2, 3, 8, 5]",5,BAFCED,"[13, 15, 5, 1, 3, 7]"
5,4,"[4, 6, 7, 1, 2, 3, 8, 5]",6,BADCFE,"[13, 15, 5, 7, 1, 3]"
5,4,"[4, 6, 7, 1, 2, 3, 8, 5]",7,BACDFE,"[13, 15, 7, 5, 1, 3]"
5,4,"[4, 6, 7, 1, 2, 3, 8, 5]",8,BAECDF,"[13, 15, 5, 3, 7, 1]"
5,5,"[4, 3, 5, 2, 1, 8, 7, 6]",1,ABDCEF,"[15, 13, 5, 7, 3, 1]"
5,5,"[4, 3, 5, 2, 1, 8, 7, 6]",2,ABCEFD,"[15, 13, 7, 1, 5, 3]"
5,5,"[4, 3, 5, 2, 1, 8, 7, 6]",3,ABDECF,"[15, 13, 3, 7, 5, 1]"
5,5,"[4, 3, 5, 2, 1, 8, 7, 6]",4,ABCFDE,"[15, 13, 7, 3, 1, 5]"
5,5,"[4, 3, 5, 2, 1, 8, 7, 6]",5,BACFED,"[13, 15, 7, 1, 3, 5]"
5,5,"[4, 3, 5, 2, 1, 8, 7, 6]",6,BAFEDC,"[13, 15, 1, 3, 5, 7]"
5,5,"[4, 3, 5, 2, 1, 8, 7, 6]",7,BADCFE,"[13, 15, 5, 7, 1, 3]"
5,5,"[4, 3, 5, 2, 1, 8, 7, 6]",8,BADFEC,"[13, 15, 1, 7, 3, 5]"
6,1,"[3, 8, 7, 1, 4, 6, 2, 5]",1,ABFCED,"[15, 13, 5, 1, 3, 7]"
6,1,"[3, 8, 7, 1, 4, 6, 2, 5]",2,ABEFDC,"[15, 13, 1, 3, 7, 5]"
6,1,"[3, 8, 7, 1, 4, 6, 2, 5]",3,ABCEFD,"[15, 13, 7, 1, 5, 3]"
6,1,"[3, 8, 7, 1, 4, 6, 2, 5]",4,ABCFDE,"[15, 13, 7, 3, 1, 5]"
6,1,"[3, 8, 7, 1, 4, 6, 2, 5]",5,BAEDCF,"[13, 15, 3, 5, 7, 1]"
6,1,"[3, 8, 7, 1, 4, 6, 2, 5]",6,BADCEF,"[13, 15, 5, 7, 3, 1]"
6,1,"[3, 8, 7, 1, 4, 6, 2, 5]",7,BACEFD,"[13, 15, 7, 1, 5, 3]"
6,1,"[3, 8, 7, 1, 4, 6, 2, 5]",8,BACEFD,"[13, 15, 7, 1, 5, 3]"
6,2,"[1, 5, 2, 6, 7, 3, 8, 4]",1,ABECFD,"[15, 13, 5, 1, 7, 3]"
6,2,"[1, 5, 2, 6, 7, 3, 8, 4]",2,ABFECD,"[15, 13, 3, 1, 5, 7]"
6,2,"[1, 5, 2, 6, 7, 3, 8, 4]",3,ABEFDC,"[15, 13, 1, 3, 7, 5]"
6,2,"[1, 5, 2, 6, 7, 3, 8, 4]",4,ABFCED,"[15, 13, 5, 1, 3, 7]"
6,2,"[1, 5, 2, 6, 7, 3, 8, 4]",5,BAECDF,"[13, 15, 5, 3, 7, 1]"
6,2,"[1, 5, 2, 6, 7, 3, 8, 4]",6,BADEFC,"[13, 15, 1, 7, 5, 3]"
6,2,"[1, 5, 2, 6, 7, 3, 8, 4]",7,BAFEDC,"[13, 15, 1, 3, 5, 7]"
6,2,"[1, 5, 2, 6, 7, 3, 8, 4]",8,BAEDCF,"[13, 15, 3, 5, 7, 1]"
6,3,"[6, 7, 5, 1, 2, 3, 4, 8]",1,ABECFD,"[15, 13, 5, 1, 7, 3]"
6,3,"[6, 7, 5, 1, 2, 3, 4, 8]",2,ABDEFC,"[15, 13, 1, 7, 5, 3]"
6,3,"[6, 7, 5, 1, 2, 3, 4, 8]",3,ABECDF,"[15, 13, 5, 3, 7, 1]"
6,3,"[6, 7, 5, 1, 2, 3, 4, 8]",4,ABDECF,"[15, 13, 3, 7, 5, 1]"
6,3,"[6, 7, 5, 1, 2, 3, 4, 8]",5,BAFEDC,"[13, 15, 1, 3, 5, 7]"
6,3,"[6, 7, 5, 1, 2, 3, 4, 8]",6,BAFEDC,"[13, 15, 1, 3, 5, 7]"
6,3,"[6, 7, 5, 1, 2, 3, 4, 8]",7,BADFEC,"[13, 15, 1, 7, 3, 5]"
6,3,"[6, 7, 5, 1, 2, 3, 4, 8]",8,BAECDF,"[13, 15, 5, 3, 7, 1]"
6,4,"[2, 1, 6, 8, 4, 7, 3, 5]",1,ABCEFD,"[15, 13, 7, 1, 5, 3]"
6,4,"[2, 1, 6, 8, 4, 7, 3, 5]",2,ABEDFC,"[15, 13, 1, 5, 7, 3]"
6,4,"[2, 1, 6, 8, 4, 7, 3, 5]",3,ABCEFD,"[15, 13, 7, 1, 5, 3]"
6,4,"[2, 1, 6, 8, 4, 7, 3, 5]",4,ABDEFC,"[15, 13, 1, 7, 5, 3]"
6,4,"[2, 1, 6, 8, 4, 7, 3, 5]",5,BAFCED,"[13, 15, 5, 1, 3, 7]"
6,4,"[2, 1, 6, 8, 4, 7, 3, 5]",6,BADCFE,"[13, 15, 5, 7, 1, 3]"
6,4,"[2, 1, 6, 8, 4, 7, 3, 5]",7,BAECFD,"[13, 15, 5, 1, 7, 3]"
6,4,"[2, 1, 6, 8, 4, 7, 3, 5]",8,BAFCDE,"[13, 15, 5, 3, 1, 7]"
6,5,"[4, 7, 3, 2, 6, 8, 5, 1]",1,ABEFCD,"[15, 13, 3, 1, 7, 5]"
